,Unnamed: 0,isbn,title,series_title,series_release_number,authors,publisher,language,description,num_pages,format,genres,publication_date,rating_score,price,url,BooksRemaining
485,1270,9780060538057,Sacred Clowns ,Leaphorn & Chee,11,Tony Hillerman,Harper Perennial,English,"During a kachina ceremony at the Tano Pueblo, the antics of a dancing 
 fill the air with tension. Moments later, the clown is found bludgeoned to death, in the same manner a reservation schoolteacher was killed only days before.
Officer Jim Chee and Lieutenant Joe Leaphorn believe that answers lie in the sacred clown's final cryptic message to the Tano people. But to decipher it, the two Navajo policemen may have to delve into closely guarded tribal secrets—on a sinister trail of blood that links a runaway, a holy artifact, corrupt Indian traders, and a pair of dead bodies.",320,Paperback,"['Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Westerns', 'Detective', 'Audiobook']",1993-10-01,4.05,12.99,https://www.goodreads.com/book/show/253191.Sacred_Clowns,1394
486,1271,9780671751173,The First Evil ,Fear Street Cheerleaders,1,R.L. Stine,Simon Pulse,English,"""Give Me a D-I-E!"" 
Newcomers Corky and Bobbi Corcoran want more than anything to make the cheerleading squad at Shadyside High. But as soon as the Corcoran sisters are named to the team, terrible things happen to the cheerleaders. 
The horror starts with a mysterious accident near the Fear Street cemetery. Soon after, piercing screams echo through the empty school halls. And then the ghastly murders begin... 
Can Corky and Bobbi stop the killer before the entire cheerleading squad is destroyed?",166,Mass Market Paperback,"['Horror', 'Young Adult', 'Fiction', 'Childrens', 'Paranormal', 'Teen', 'Thriller']",1992-08-01,3.83,9.99,https://www.goodreads.com/book/show/107928.The_First_Evil,1419
487,1276,9780812515282,A Fire Upon the Deep ,Zones of Thought,1,Vernor Vinge,Tor Science Fiction,English,"A Fire upon the Deep
 is the big, breakout book that fulfills the promise of Vinge's career to date: a gripping tale of galactic war told on a cosmic scale.
Thousands of years hence, many races inhabit a universe where a mind's potential is determined by its location in space, from superintelligent entities in the Transcend, to the limited minds of the Unthinking Depths, where only simple creatures and technology can function. Nobody knows what strange force partitioned space into these ""regions of thought,"" but when the warring Straumli realm use an ancient Transcendent artifact as a weapon, they unwittingly unleash an awesome power that destroys thousands of worlds and enslaves all natural and artificial intelligence.
Fleeing the threat, a family of scientists, including two children, are taken captive by the Tines, an alien race with a harsh medieval culture, and used as pawns in a ruthless power struggle. A rescue mission, not entirely composed of humans, must rescue the children-and a secret that may save the rest of interstellar civilization.",613,Mass Market Paperback,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Fantasy', 'Hugo Awards', 'Space']",1992-01-01,4.14,0.0,https://www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep,1297
488,1278,9781417642168,Attack of the Deranged Mutant Killer Monster Snow Goons ,Calvin and Hobbes,7,Bill Watterson,Turtleback Books,English,"With the help of his faithful stuffed tiger companion and his alter egos--Spaceman Spiff, Stupendous Man, and Tracer Bullet--Calvin continues to navigate the tricky waters of youth.",128,Library Binding,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comic Strips', 'Comic Book', 'Graphic Novels Comics']",1992-01-01,4.67,8.99,https://www.goodreads.com/book/show/70487.Attack_of_the_Deranged_Mutant_Killer_Monster_Snow_Goons,1730
489,1280,9781857232059,The Ship Who Searched ,Brainship,3,"Mercedes McCaffrey, Anne; Lackey",Orbit,English,"A young woman becomes paralyzed and must become a brainship—and find her Brawn, her human soul mate, so that she can discover a cure for her illness.
Tia Cade is a headstrong, smart, and very normal girl until she contracts a terrible illness that leaves her with the bare semblance of life. Tia's only hope: to become the oldest person ever to train to be one of the legendary star travelers, the brainships. But now that Tia is free of her ravaged body, there still remains the task of finding the right partner to be her Brawn, the human element every brainship requires. And when the disease that debilitated Tia threatens thousands more, selecting a Brawn who is her true soul mate may allow Tia to find the origin of the terrible plague—and perhaps even a cure.",312,Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Romance', 'Space Opera', 'Space']",1992-01-01,4.11,8.99,https://www.goodreads.com/book/show/176850.The_Ship_Who_Searched,297
490,1282,9780440216414,The 27-Ingredient Chili Con Carne Murders ,Eugenia Potter,4,Nancy Pickard,Dell,English,"Some like it hot
“Delightful . . . Ms. Pickard has given the protagonist a new least on life!”— The New York Times
When Eugenia Potter receives an urgent phone call from the manager of her ranch near Tucson, she's only too happy to drop everything and fly home. Something inside of her is calling her back to the desert. Why else would be preparing spicy Mexican meatball soup at her cottage in Maine when the menu clearly calls for clam chowder?
But once she arrives home, Mrs. Potter discovers that her ranch manager and his granddaughter are missing from her ranch, Las Palomas, and feared dead. When a guest at a dinner gathering thrown by Mrs. Potter is food poisoned—apparently from eating her famous 27-ingredient chili—she knows she must act quickly before the murderer strikes again. And it doesn't hurt to have the help of a long-lost beau to spice up the danger with romance . . .",288,Mass Market Paperback,"['Mystery', 'Cozy Mystery', 'Fiction', 'Cookbooks', 'Mystery Thriller', 'Food', 'Cooking']",1992-01-01,3.75,7.99,https://www.goodreads.com/book/show/1054666.The_27_Ingredient_Chili_Con_Carne_Murders,725
491,1283,9780743410656,Booked to Die ,Cliff Janeway,1,John Dunning,Pocket Star,English,"Denver homicide detective Cliff Janeway may not always play by the book, but he is an avid collector of rare and first editions. After a local bookscout is killed on his turf, Janeway would like nothing better than to rearrange the suspect's spine. But the suspect, local lowlife Jackie Newton, is a master at eluding the law, and Janeway's wrathful brand of off-duty justice costs him his badge. 
 Turning to his lifelong passion, Janeway opens a small bookshop -- all the while searching for evidence to put Newton away. But when prized volumes in a highly sought-after collection begin to appear, so do dead bodies. Now, Janeway's life is about to start a precarious new chapter as he attempts to find out who's dealing death along with vintage Chandlers and Twains. 
 Includes information on John Dunning's new Cliff Janeway novel, 
 coming soon in hardcover from Scribner",394,Mass Market Paperback,"['Mystery', 'Fiction', 'Books About Books', 'Mystery Thriller', 'Crime', 'Thriller', 'Detective']",1992-01-23,3.9,9.99,https://www.goodreads.com/book/show/445593.Booked_to_Die,1474
492,1284,9780446692632,Along Came a Spider ,Alex Cross,1,James Patterson,Grand Central Publishing,English,"What have we got? A missing little girl named Maggie Rose . . . a family of three brutally murdered in the projects of Washington, D.C. . . . the thrill-killing of a beautiful elementary school teacher . . . a psychopathic serial kidnapper/murderer who is so terrifying that the FBI, the Secret Service, and the police cannot outsmart him - even after he's been captured.
Gary Soneji wants to commit the crime of the century. Alex Cross is the brilliant homicide detective pitted against him. Jezzie Flanagan is the first female supervisor of the Secret Service. They complete one of the most unusual suspense triangles in any thriller you have ever read. 
Alex and Jezzie are about to have a forbidden love affair—at the worst possible time for both of them. Because Gary Soneji is playing at the top of his game. The latest of the unspeakable crimes happens in Alex Cross's precinct and it happens under the nose of Jezzie and her men.
Alex faces the ultimate test: how do you outmaneuver a brilliant psychopath?",449,Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Detective']",1993-02-01,4.13,9.99,https://www.goodreads.com/book/show/13145.Along_Came_a_Spider,725
493,1286,9780802712455,A Bone to Pick ,Aurora Teagarden,2,Charlaine Harris,Walker & Co,English,"Going to two weddings—one of a former lover—and a funeral for a member of her disbanded crime study club keeps Aurora “Roe” Teagarden quite busy for a few months. Unfortunately, her personal life seems to be at a standstill—until her fortunes unexpectedly change. 
 
After the funeral, Roe learns that Jane Engle, the deceased, has named her as heir to a rather substantial estate, which includes money, jewelry, and a house complete with a skull hidden in a window seat. Knowing Jane, Roe concludes that the elderly woman has purposely left her a murder to solve. So she must identify the victim and figure out which one of Jane’s ordinary-seeming neighbors is a murderer—without putting herself in deadly danger...",168,Hardcover,"['Mystery', 'Fiction', 'Cozy Mystery', 'Crime', 'Audiobook', 'Mystery Thriller', 'Romance']",1992-11-01,3.75,4.99,https://www.goodreads.com/book/show/140093.A_Bone_to_Pick,423
494,1292,9780060740689,Death at La Fenice ,Commissario Brunetti,1,Donna Leon,Harper Perennial,English,"There is little violent crime in Venice, a serenely beautiful floating city of mystery and magic, history and decay. But the evil that does occasionally rear its head is the jurisdiction of Guido Brunetti, the suave, urbane vice-commissario of police and a genius at detection. Now all of his admirable abilities must come into play in the deadly affair of Maestro Helmut Wellauer, a world-renowned conductor who died painfully from cyanide poisoning during an intermission at La Fenice. 
 But as the investigation unfolds, a chilling picture slowly begins to take shape--a detailed portrait of revenge painted with vivid strokes of hatred and shocking depravity. And the dilemma for Guido Brunetti will not be finding a murder suspect, but rather narrowing the choices down to one. . . .",270,Paperback,"['Mystery', 'Fiction', 'Italy', 'Crime', 'Mystery Thriller', 'Detective', 'Thriller']",1992-06-19,3.88,7.31,https://www.goodreads.com/book/show/68099.Death_at_La_Fenice,1062
495,1293,9781933397696,Death In Disguise ,Chief Inspector Barnaby,3,Caroline Graham,Felony & Mayhem,English,"The Lodge of the Golden Windhorse has provided the citizens of Compton Dando with splendid fodder for gossip, prompting speculation of arcane rituals and bizarre sexual practices. But with the murder of the commune's leaders, the rumor-mill goes into overdrive. It's the most exciting thing to happen in Compton Dando since three boys burned down the bus shelter. In trying to solve those murders, Chief Inspector Barnaby is less excited than exasperated. The residents of the Windhorse commune may have been seeking the simple life, but they're all concealing complicated pasts - or past lives. As in Death of a Hollow Man, Graham is at her most gleeful when skewering the eccentricities of a closed community, and no one survives unscathed. Wonderfully funny . . . good plotting, judiciously dropped clues, and a luminescent turn of phrase - Kirkus Lively, shrewdly plotted, and wickedly funny . . . evokes the golden age of the traditional detective story - Orlando Sentinel",416,Paperback,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Mystery Thriller', 'Cozy Mystery', 'Detective']",1992-01-01,3.74,1.99,https://www.goodreads.com/book/show/526962.Death_In_Disguise,696
496,1294,9780380728466,Last Call ,Fault Lines,1,Tim Powers,William Morrow Paperbacks,English,"Set in Las Vegas, Last Call concerns the fate of Scott Crane, former professional gambler, recent widower, blind in one eye--and also the lost natural son of the man who is determined to kill him. In this novel, Crane is forced to resume the high-stakes game of a lifetime--and wager it all.",535,Paperback,"['Fantasy', 'Fiction', 'Urban Fantasy', 'Science Fiction', 'Horror', 'Science Fiction Fantasy', 'Speculative Fiction']",1992-04-01,4.06,14.99,https://www.goodreads.com/book/show/209690.Last_Call,1297
497,1299,9780671724856,The Prom Queen ,Fear Street,15,R.L. Stine,Simon Pulse,English,"A spring night…soft moonlight…five beautiful Prom Queen candidates…dancing couples at the Shadyside High prom—these should be the ingredients for romance.
But stir in one brutal murder—then another, and another—and the recipe quickly turns to horror.
Lizzie McVay realizes that someone is murdering the five Prom Queen candidates one by one—and that she may be next on the list! Can she stop the murderer before the dance is over—
for good?",176,Mass Market Paperback,"['Horror', 'Young Adult', 'Fiction', 'Childrens', 'Thriller', 'Teen', 'Mystery']",1992-03-01,3.69,9.99,https://www.goodreads.com/book/show/656717.The_Prom_Queen,807
498,1300,9780385732550,The Giver ,The Giver,1,Lois Lowry,Ember,English,"At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.",208,Paperback,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']",1993-04-26,4.12,11.99,https://www.goodreads.com/book/show/3636.The_Giver,993
499,1301,9780385335997,Voyager ,Outlander,3,Diana Gabaldon,Dell,English,"From the author of the breathtaking bestsellers 
 and 
Dragonfly in Amber
, the extraordinary saga continues.
Their passionate encounter happened long ago by whatever measurement Claire Randall took. Two decades before, she had traveled back in time and into the arms of a gallant eighteenth-century Scot named Jamie Fraser. Then she returned to her own century to bear his child, believing him dead in the tragic battle of Culloden. Yet his memory has never lessened its hold on her... and her body still cries out for him in her dreams.
Then Claire discovers that Jamie survived. Torn between returning to him and staying with their daughter in her own era, Claire must choose her destiny. And as time and space come full circle, she must find the courage to face the passion and pain awaiting her...the deadly intrigues raging in a divided Scotland... and the daring voyage into the dark unknown that can reunite or forever doom her timeless love.",870,Paperback,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']",1993-12-01,4.39,7.99,https://www.goodreads.com/book/show/10987.Voyager,1140
500,1303,9781857232097,The Fires of Heaven ,The Wheel of Time,5,Robert Jordan,Orbit,English,"The Wheel of Time is now an original series on Prime Video, starring Rosamund Pike as Moiraine!
In The Fires of Heaven, the fifth novel in Robert Jordan’s #1 New York Times bestselling epic fantasy series, The Wheel of Time, four of the most powerful Forsaken band together against the Champion of Light, Rand al’Thor.
Prophesized to defeat the Dark One, Rand al'Thor, the Dragon Reborn, has upset the balance of power across the land. Shaido Aiel are on the march, ravaging everything in their path. The White Tower's Amyrlin has been deposed, turning the Aes Sedai against one another. The forbidden city of Rhuidean is overrun by Shadowspawn.
Despite the chaos swirling around him, Rand continues to learn how to harness his abilities, determined to wield the One Power--and ignoring the counsel of Moiraine Damodred at great cost.
Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The last six books in series were all instant #1 New York Times bestsellers, and The Eye of the World was named one of America's best-loved novels by PBS's The Great American Read.
The Wheel of Time®
New Spring: The Novel
#1 The Eye of the World
#2 The Great Hunt
#3 The Dragon Reborn
#4 The Shadow Rising
#5 The Fires of Heaven
#6 Lord of Chaos
#7 A Crown of Swords
#8 The Path of Daggers
#9 Winter's Heart
#10 Crossroads of Twilight
#11 Knife of Dreams
By Robert Jordan and Brandon Sanderson
#12 The Gathering Storm
#13 Towers of Midnight
#14 A Memory of Light",912,Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']",1993-10-15,4.19,9.99,https://www.goodreads.com/book/show/13895.The_Fires_of_Heaven,1681
501,1304,9780446675505,Parable of the Sower ,Earthseed,1,Octavia E. Butler,Grand Central Publishing,English,"In 2024, with the world descending into madness and anarchy, one woman begins a fateful journey toward a better future.
Lauren Olamina and her family live in one of the only safe neighborhoods remaining on the outskirts of Los Angeles. Behind the walls of their defended enclave, Lauren’s father, a preacher, and a handful of other citizens try to salvage what remains of a culture that has been destroyed by drugs, disease, war, and chronic water shortages. While her father tries to lead people on the righteous path, Lauren struggles with hyperempathy, a condition that makes her extraordinarily sensitive to the pain of others.
When fire destroys their compound, Lauren’s family is killed and she is forced out into a world that is fraught with danger. With a handful of other refugees, Lauren must make her way north to safety, along the way conceiving a revolutionary idea that may mean salvation for all mankind.",345,Paperback,"['Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Classics', 'Post Apocalyptic', 'Speculative Fiction']",1993-10-01,4.21,11.99,https://www.goodreads.com/book/show/52397.Parable_of_the_Sower,1473
502,1307,9780061092190,Men at Arms ,"Discworld, City Watch","15,2",Terry Pratchett,HarperPrism,English,"""Be a MAN in the City Watch! The City Watch needs MEN!""
But what it's got includes Corporal Carrot (technically a dwarf), Lance-constable Cuddy (really a dwarf), Lance constable Detritus (a troll), Lance constable Angua (a woman... most of the time), and Corporal Nobbs (disqualified from the human race for shoving).
And they need all the help they can get. Because they've only got twenty-four hours to clean up the town and this is Ankh-Morpork we're talking about...",377,Mass Market Paperback,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Mystery']",1993-01-01,4.4,6.99,https://www.goodreads.com/book/show/400354.Men_at_Arms,590
503,1310,9780060786526,A Suitable Boy ,A Bridge of Leaves,1,Vikram Seth,Harper Perennial Modern Classics,English,"Vikram Seth's novel is, at its core, a love story: Lata and her mother, Mrs. Rupa Mehra, are both trying to find—through love or through exacting maternal appraisal—a suitable boy for Lata to marry. Set in the early 1950s, in an India newly independent and struggling through a time of crisis, 
 takes us into the richly imagined world of four large extended families and spins a compulsively readable tale of their lives and loves. A sweeping panoramic portrait of a complex, multiethnic society in flux, 
A Suitable Boy
 remains the story of ordinary people caught up in a web of love and ambition, humor and sadness, prejudice and reconciliation, the most delicate social etiquette and the most appalling violence.",1474,Paperback,"['Fiction', 'India', 'Historical Fiction', 'Classics', 'Indian Literature', 'Romance', 'Historical']",1993-05-01,4.12,0.0,https://www.goodreads.com/book/show/50365.A_Suitable_Boy,956
504,1315,9780553560732,Red Mars ,Mars Trilogy,1,Kim Stanley Robinson,Spectra Books,English,"In his most ambitious project to date, award-winning author Kim Stanley Robinson utilizes years of research and cutting-edge science in the first of a trilogy chronicling the colonization of Mars.
 
For eons, sandstorms have swept the desolate landscape. For centuries, Mars has beckoned humans to conquer its hostile climate. Now, in 2026, a group of 100 colonists is about to fulfill that destiny. 
John Boone, Maya Toitavna, Frank Chalmers and Arkady Bogdanov lead a terraforming mission. For some, Mars will become a passion driving them to daring acts of courage and madness. For others it offers an opportunity to strip the planet of its riches. For the genetic alchemists, it presents a chance to create a biomedical miracle, a breakthrough that could change all we know about life and death. The colonists orbit giant satellite mirrors to reflect light to the surface. Black dust sprinkled on the polar caps will capture warmth. Massive tunnels, kilometers deep, will be drilled into the mantle to create stupendous vents of hot gases. Against this backdrop of epic upheaval, rivalries, loves and friendships will form and fall to pieces—for there are those who will fight to the death to prevent Mars from ever being changed. 
Brilliantly imagined, breathtaking in scope and ingenuity, 
 is an epic scientific saga, chronicling the next step in evolution, creating a world in its entirety. It shows a future, with both glory and tarnish, that awes with complexity and inspires with vision.",572,Mass Market Paperback,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Space', 'Fantasy', 'Space Opera', 'Speculative Fiction']",1992-01-01,3.86,3.99,https://www.goodreads.com/book/show/77507.Red_Mars,1269
505,1317,9780553564921,The Last Command ,Star Wars: The Thrawn Trilogy,3,Timothy Zahn,Random House Worlds,English,"The embattled Republic reels from the attacks of Grand Admiral Thrawn, who has marshaled the remnants of the Imperial forces and driven the Rebels back with an abominable technology recovered from the Emperor's secret fortress: clone soldiers. As Thrawn mounts his final siege, Han and Chewbacca struggle to form a coalition of smugglers for a last-ditch attack against the empire, while Leia holds the Alliance together and prepares for the birth of her Jedi twins. Overwhelmed by the ships and clones at Thrawn's command, the Republic has one last hope--sending a small force, led by Luke Skywalker, into the very stronghold that houses Thrawn's terrible cloning machines. There a final danger awaits, as the Dark Jedi C'baoth directs the battle against the Rebels and builds his strength to finish what he had already started: the destruction of Luke Skywalker.
Features a bonus section following the novel that includes a primer on the 
 expanded universe, and over half a dozen excerpts from some of the most popular 
Star Wars
 books of the last thirty years!",467,Mass Market Paperback,"['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook']",1993-01-01,4.25,8.99,https://www.goodreads.com/book/show/216422.The_Last_Command,1513
506,1319,9780515134490,Guilty Pleasures ,"Anita Blake, Vampire Hunter",1,Laurell K. Hamilton,Jove Books,English,"Anita Blake is small, dark, and dangerous. Her turf is the city of St. Louis. Her job: re-animating the dead and killing the undead who take things too far. But when the city’s most powerful vampire asks her to solve a series of vicious slayings, Anita must confront her greatest fear—her undeniable attraction to master vampire Jean-Claude, one of the creatures she is sworn to destroy...",265,Mass Market Paperback,"['Urban Fantasy', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Horror', 'Fiction']",1993-10-01,4.02,9.99,https://www.goodreads.com/book/show/631329.Guilty_Pleasures,644
507,1320,9780446613446,The Black Ice ,"Harry Bosch, Harry Bosch Universe","2,2",Michael Connelly,Vision,English,"Narcotics office Cal Moore's orders were to look into the city's latest drug killing. Instead, he ends up in a motel room with a fatal bullet wound to the head and a suicide note stuffed in his back pocket.
Working the case, LAPD detective Harry Bosch is reminded of the primal police rule he learned long ago: don't look for the facts, but the glue that holds them together.
Soon Harry's making some very dangerous connections, starting with a dead cop and leading to a bloody string of murders that wind from Hollywood Boulevard to the back alleys south of the border. Now this battle-scarred veteran will find himself in the centre of a complex and deadly game - one in which he may be the next and likeliest victim.",439,Mass Market Paperback,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Detective', 'Audiobook']",1993-12-01,4.11,9.99,https://www.goodreads.com/book/show/24244.The_Black_Ice,1495
508,1324,9781857239010,The Talismans of Shannara ,Heritage of Shannara,4,Terry Brooks,Orbit,English,"Although some of the goals to keep Shannara safe had been met, the work of Walker Boh, Wren, and Par was not yet done. For The Shadowen still swarmed over the Four Lands, poisoning all with their dark magic. Each Shannaran had a special death waiting for him- at the hands of The Shadowen-unless Par could find a way to free them all with the Sword of Shannara.",440,Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Magic']",1993-03-01,4.04,7.99,https://www.goodreads.com/book/show/34919.The_Talismans_of_Shannara,784
509,1330,9780756402983,To Green Angel Tower ,"Memory, Sorrow, and Thorn",3,Tad Williams,DAW,English,"As the evil minions of the undead Sithi Storm King prepare for the kingdom-shattering culmination of their dark sorceries and King Elias is drawn ever deeper into their nightmarish, spell spun world, the loyal allies of Prince Josua desperately struggle to rally their forces at the Stone of Farewell. And with time running out, the remaining members of the now devastated League of the Scroll have also gathered there to unravel mysteries from the forgotten past in an attempt to find something to strike down their unslayable foe.
But whether or not they are successful, the call of battle will lead the valiant followers of Josua Lackhand on a memorable trek to the haunted halls of Asu'a itself - the Sithi's greatest stronghold.",1083,Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Epic']",1993-03-01,4.2,8.99,https://www.goodreads.com/book/show/28691.To_Green_Angel_Tower,386
510,1332,9780671577933,On Basilisk Station ,Honor Harrington,1,David Weber,Baen,English,"Instead of remaining out of sight during her assignment to a forlorn outpost, spaceship commander Honor Harrington, along with her vessel, the Fearless, performs incredible flying maneuvers to stop a foreign takeover of a major space station, in a hardcover edition of the first Honor Harrington adventure.",342,Hardcover,"['Science Fiction', 'Space Opera', 'Fiction', 'Military Fiction', 'Science Fiction Fantasy', 'Space', 'Military Science Fiction']",1992-04-01,4.13,0.0,https://www.goodreads.com/book/show/980455.On_Basilisk_Station,101
511,1335,9780671578640,The Honor of the Queen ,Honor Harrington,2,David Weber,Baen,English,"RIGHT WOMAN, WRONG PLACE
It's hard to give peace a chance when the other side regards war as the necessary prelude to conquest, and a sneak attack as the best means to that end. That's why the Kingdom of Manticore needs allies against the so-called ""Republic"" of Haven—and the planet Grayson is just the right strategic place to make a very good ally indeed. But Her Majesty's Foreign Office had overlooked a ""minor cultural difference"" when they chose Honor Harrington to carry the flag: women on the planet Grayson are without rank or rights; Honor's very presence is an intolerable affront to every male on the planet.
At first Honor doesn't take it personally; where she comes from gender discrimination is barely a historical memory, right up there in significance to fear of the left-handed. But in time such treatment as she receives from the Graysonites does become wearing, and Honor would withdraw if she could—but then Grayson's fratricidal sister planet attacks without warning and she must stay and prevail, not just for Honor's honor, but for her sovereign's, for—THE HONOR OF THE QUEEN.",371,Hardcover,"['Science Fiction', 'Space Opera', 'Fiction', 'Military Fiction', 'Military Science Fiction', 'Space', 'Science Fiction Fantasy']",1993-06-01,4.22,6.99,https://www.goodreads.com/book/show/2459989.The_Honor_of_the_Queen,1798
512,1337,9780836217353,The Days Are Just Packed ,Calvin and Hobbes,8,Bill Watterson,Andrews McMeel Publishing,English,"Zounds! Spaceman Spiff, Stupendous Man, the ferocious tiger Hobbes, and the rest of Calvin's riotous imagination are all included in 
.
Calvin, the self-proclaimed ""Boy of Destiny,"" continues to save the universe with his alter egos, Spaceman Spiff and Stupendous Man, at least until Miss Wormwood or his mother bring him back to reality. Susie, Calvin's nemesis and love interest, remains Calvin's favorite target. And when he's not recovering from a ferocious tiger attack, Calvin creates hideous snowmen, plays a moral cat-and-mouse game with Santa, conducts his infamous Dad polls, and combats the monsters under his bed.",176,Paperback,"['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Comic Strips', 'Graphic Novels Comics', 'Comedy']",1993-09-01,4.67,8.99,https://www.goodreads.com/book/show/24818.The_Days_Are_Just_Packed,1046
513,1338,9780425135778,A Fatal Thaw ,Kate Shugak,2,Dana Stabenow,Berkley,English,"On her homestead in the middle of twenty million acres of national Park, Aleut P.I. Kate Shugak is caught up in spring cleaning, unaware that just miles away a man's sanity is breaking. When the sound of gunfire finally dies away, nine of his neighbors lie dead in the snow. But did he kill all nine, or only eight? The ninth victim was killed with a different weapon. It's up to Kate and her husky-wolf sidekick Mutt to untangle the life of the dead blonde with the tarnished past and find her killer. It won't be easy; every second Park rat had a motive. Was it one of her many spurned lovers? Was a wife looking for revenge? Or did a deal with an ivory smuggler go bad? Even Trooper Jim Chopin, the Park's resident state trooper, had a history with the victim. Kate will need every ounce of determination to find the truth before Alaska metes out its own justice....",208,Mass Market Paperback,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Detective']",1993-01-01,4.06,0.0,https://www.goodreads.com/book/show/672615.A_Fatal_Thaw,1499
514,1339,9780684857534,Streets of Laredo ,Lonesome Dove,2,Larry McMurtry,Simon Schuster,English,"From the Pulitzer Prize-winning author Larry McMurtry comes the sequel and final book in the Lonesome Dove tetralogy. An exhilarating tale of legend and heroism, 
 is classic Texas and Western literature at its finest.
Captain Woodrow Call, August McCrae's old partner, is now a bounty hunter hired to track down a brutal young Mexican bandit. Riding with Call are an Eastern city slicker, a witless deputy, and one of the last members of the Hat Creek outfit, Pea Eye Parker. This long chase leads them across the last wild stretches of the West into a hellhole known as Crow Town and, finally, into the vast, relentless plains of the Texas frontier.",547,Paperback,"['Westerns', 'Fiction', 'Historical Fiction', 'Historical', 'Adventure', 'Novels', 'Classics']",1993-01-01,4.05,14.99,https://www.goodreads.com/book/show/54812.Streets_of_Laredo,1363
515,1341,9780553572391,Green Mars ,Mars Trilogy,2,Kim Stanley Robinson,Spectra Books,English,"In the Nebula Award winning Red Mars, Kim Stanley Robinson began his critically acclaimed epic saga of the colonization of Mars, Now the Hugo Award winning Green Mars continues the thrilling and timeless tale of humanity's struggle to survive at its farthest frontier.
Nearly a generation has passed since the first pioneers landed, but the transformation of Mars to an Earthlike planet has just begun. The plan is opposed by those determined to preserve the planet's hostile, barren beauty. Led by rebels like Peter Clayborne, these young people are the first generation of children born on Mars. They will be joined by original settlers Maya Toitovna, Simon Frasier, and Sax Russell. Against this cosmic backdrop, passions, rivalries, and friendships explode in a story as spectacular as the planet itself.",624,Mass Market Paperback,"['Science Fiction', 'Fiction', 'Hugo Awards', 'Science Fiction Fantasy', 'Space', 'Speculative Fiction', 'Space Opera']",1993-05-01,3.95,5.99,https://www.goodreads.com/book/show/77505.Green_Mars,758
516,1342,9780425143322,Without Remorse ,"John Clark, Jack Ryan Universe Publication Order","1,6",Tom Clancy,Berkley Books,English,"John Kelly, former Navy SEAL and Vietnam veteran, is still getting over the accidental death of his wife six months before, when he befriends a young woman with a decidedly checkered past. When that past reaches out for her in a particularly horrifying fashion, he vows revenge and, assembling all of his old skills, sets out to track down the men responsible, before it can happen again.
At the same time, the Pentagon is readying an operation to rescue a key group of prisoners in a North Vietnamese prisoner-of-war camp. One man, they find, knows the terrain around the camp better than anyone else they have: a certain former Navy SEAL named John Kelly.
Kelly has his own mission. The Pentagon wants him for theirs. Attempting to juggle the two, Kelly (now code-named Mr. Clark) finds himself confronted by a vast array of enemies, both at home and abroad - men so skillful that the slightest misstep means death. And the fate of dozens of people, including Kelly himself, rests on his making sure that misstep never happens.
Men aren't born dangerous. They grow dangerous. And the most dangerous of all, Kelly learns, are the ones you least expect...
As Clancy takes us through the twists and turns of Without Remorse, he blends the exceptional realism and authenticity that are his hallmarks with intricate plotting, knife-edge suspense and a remarkable cast of characters.",750,Mass Market Paperback,"['Fiction', 'Thriller', 'Action', 'Military Fiction', 'Espionage', 'Mystery', 'Suspense']",1993-08-11,4.21,9.99,https://www.goodreads.com/book/show/19668.Without_Remorse,928
